District Name,Zone,Geographical Region,Development Region,Measure Names,Unit,Measure Values
Achham,Seti,Hill,Far-Western,Number of poor,69134,932.6534
Achham,Seti,Hill,Far-Western,Number of poor,69133,5247.3263
Achham,Seti,Hill,Far-Western,Number of poor,69132,1408.1394
Achham,Seti,Hill,Far-Western,Number of poor,69131,2903.2647
Achham,Seti,Hill,Far-Western,Number of poor,69124,7611.8766
Achham,Seti,Hill,Far-Western,Number of poor,69123,2606.7704
Achham,Seti,Hill,Far-Western,Number of poor,69122,1162.8708
Achham,Seti,Hill,Far-Western,Number of poor,69121,2228.627
Achham,Seti,Hill,Far-Western,Number of poor,69113,654.3328
Achham,Seti,Hill,Far-Western,Number of poor,69112,3499.191
Achham,Seti,Hill,Far-Western,Number of poor,69111,3999.8035
Achham,Seti,Hill,Far-Western,Number of poor,69105,1284.0696
Achham,Seti,Hill,Far-Western,Number of poor,69104,2652.3197
Achham,Seti,Hill,Far-Western,Number of poor,69103,1236.2575
Achham,Seti,Hill,Far-Western,Number of poor,69102,3870.3522
Achham,Seti,Hill,Far-Western,Number of poor,69101,4420.255
Achham,Seti,Hill,Far-Western,Number of poor,69093,2626.4909
Achham,Seti,Hill,Far-Western,Number of poor,69092,1672.9832
Achham,Seti,Hill,Far-Western,Number of poor,69091,2562.068
Achham,Seti,Hill,Far-Western,Number of poor,69085,1426.3808
Achham,Seti,Hill,Far-Western,Number of poor,69084,4016.3672
Achham,Seti,Hill,Far-Western,Number of poor,69083,1776.2304
Achham,Seti,Hill,Far-Western,Number of poor,69082,1596.7364
Achham,Seti,Hill,Far-Western,Number of poor,69081,4316.6328
Achham,Seti,Hill,Far-Western,Number of poor,69073,502.7256
Achham,Seti,Hill,Far-Western,Number of poor,69072,3327.6168
Achham,Seti,Hill,Far-Western,Number of poor,69071,5043.5334
Achham,Seti,Hill,Far-Western,Number of poor,69065,1532.5415
Achham,Seti,Hill,Far-Western,Number of poor,69064,1915.6401
Achham,Seti,Hill,Far-Western,Number of poor,69063,435.4119
Achham,Seti,Hill,Far-Western,Number of poor,69062,3178.3623
Achham,Seti,Hill,Far-Western,Number of poor,69061,3847.0788
Achham,Seti,Hill,Far-Western,Number of poor,69054,201.1804
Achham,Seti,Hill,Far-Western,Number of poor,69053,1123.6525
Achham,Seti,Hill,Far-Western,Number of poor,69052,1059.87
Achham,Seti,Hill,Far-Western,Number of poor,69051,2201.0022
Achham,Seti,Hill,Far-Western,Number of poor,69045,672.6774
Achham,Seti,Hill,Far-Western,Number of poor,69044,903.474
Achham,Seti,Hill,Far-Western,Number of poor,69043,3275.4632
Achham,Seti,Hill,Far-Western,Number of poor,69042,1485.0486
Achham,Seti,Hill,Far-Western,Number of poor,69041,2422.272
Achham,Seti,Hill,Far-Western,Number of poor,69034,1047.384
Achham,Seti,Hill,Far-Western,Number of poor,69033,1624.6832
Achham,Seti,Hill,Far-Western,Number of poor,69032,871.1595
Achham,Seti,Hill,Far-Western,Number of poor,69031,1624.1897
Achham,Seti,Hill,Far-Western,Number of poor,69024,1308.3352
Achham,Seti,Hill,Far-Western,Number of poor,69023,1142.9262
Achham,Seti,Hill,Far-Western,Number of poor,69022,681.296
Achham,Seti,Hill,Far-Western,Number of poor,69021,2659.6782
Achham,Seti,Hill,Far-Western,Number of poor,69013,965.9524
Achham,Seti,Hill,Far-Western,Number of poor,69012,1802.834
Achham,Seti,Hill,Far-Western,Number of poor,69011,7492.4295
Achham,Seti,Hill,Far-Western,Severity of poverty,69134,0.0341
